Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[10, 38, 69, 142, 183, 196, 226, 235, 237, 246, 277, 282, 314, 357]",0.76,MLR,0.49,-0.56,-0.6,0.27
"[17, 250, 259, 296, 315, 373]",0.56,MLR,0.31,0.08,-0.55,0.1
"[46, 197, 373]",0.65,MLR,0.08,-0.08,-0.82,-0.82
"[79, 102, 145, 152, 291, 323, 339]",0.66,MLR,0.24,-0.21,-0.66,-0.39
"[72, 76, 112, 161, 195, 381]",0.6,MLR,0.08,-0.32,-0.13,-0.13
"[144, 148, 169, 370]",0.52,MLR,0.11,-0.08,-0.06,-0.34
"[42, 43, 283, 343, 349, 379]",0.57,MLR,0.09,-0.24,-0.08,-0.04
"[172, 253, 355]",0.54,MLR,0.12,-0.04,-0.28,-0.47
"[18, 277, 288, 292, 309, 372]",0.67,MLR,0.32,0.01,-1.08,-1.11
"[85, 139, 175, 177, 213, 267, 341]",0.49,MLR,0.32,-0.09,0.12,-0.14
"[30, 113, 178, 211, 287, 318]",0.58,MLR,0.13,-0.37,0.1,-0.15
"[272, 287, 375]",0.56,MLR,0.0,-0.16,-0.19,-0.27
"[17, 38, 262]",0.45,MLR,0.28,0.12,-0.04,0.38
"[34, 114, 151, 278]",0.65,MLR,0.14,-0.18,-0.63,-1.14
"[55, 148, 199]",0.61,MLR,0.05,-0.42,-0.03,-0.1
"[103, 259, 278, 280, 382]",0.54,MLR,0.14,-0.02,-0.27,-0.69
"[105, 176, 198, 327, 337]",0.61,MLR,0.14,-0.43,-0.01,-0.1
"[40, 320, 337, 352]",0.55,MLR,0.06,-0.2,-0.04,-0.29
"[45, 110, 162, 221, 235, 297, 348]",0.49,MLR,0.21,-0.11,0.17,0.14
"[16, 106, 166, 264, 281, 291, 295, 306, 357, 381, 384]",0.93,MLR,0.33,-1.47,-0.03,0.33
"[57, 105, 175, 183, 232, 246, 276, 306]",0.64,MLR,0.01,-0.58,0.08,-0.72
"[141, 161, 245, 246, 276, 346]",0.45,MLR,0.35,0.18,-0.12,0.08
"[76, 118, 313, 345]",0.55,MLR,0.11,-0.02,-0.34,-0.13
"[11, 49, 53, 183, 218, 249, 262, 353]",0.51,MLR,0.55,0.22,-0.51,-0.46
"[68, 86, 94, 143]",0.52,MLR,0.06,-0.11,-0.01,-0.37
"[17, 55, 71, 81, 120, 223]",0.58,MLR,0.21,-0.03,-0.48,-0.2
"[23, 139, 197, 211, 216, 282]",0.77,MLR,0.11,-0.13,-1.36,-1.38
"[4, 75, 116, 323]",0.58,MLR,0.06,-0.16,-0.26,-0.4
"[36, 110, 120, 143, 290]",0.56,MLR,0.08,-0.22,-0.08,-0.94
"[1, 85, 119, 161, 195, 225, 305, 335]",0.71,MLR,0.21,-0.2,-0.92,-0.65
"[3, 97, 174, 224, 251, 290, 323, 330, 376]",0.73,MLR,0.22,-0.4,-0.68,-1.9
"[42, 43, 95, 139, 175, 201, 238, 348]",0.56,MLR,0.2,-0.18,-0.15,-0.23
"[128, 154, 201, 230, 327, 341, 355]",0.55,MLR,0.3,0.05,-0.48,-0.08
"[68, 115, 148, 372]",0.54,MLR,0.04,-0.17,-0.03,-0.08
"[24, 29, 37, 41, 44, 71, 75, 85, 86, 137, 155, 260, 280, 322, 339, 371]",1.62,MLR,0.34,-2.83,-1.56,-1.81
"[79, 111, 139, 202, 215, 359, 382]",0.69,MLR,0.09,-0.43,-0.43,-1.69
"[1, 6, 99, 138, 156, 165, 305]",0.64,MLR,0.27,-0.04,-0.78,-0.85
"[106, 123, 133, 155, 171, 199, 204, 339, 366]",0.79,MLR,0.43,-1.12,0.15,0.41
"[163, 225, 254, 296]",0.54,MLR,0.01,-0.21,0.05,-0.1
"[9, 150, 184, 203, 208, 229, 237, 286, 365]",0.66,MLR,0.18,-0.34,-0.44,-0.87
"[13, 35, 54, 107, 160, 190, 255, 322, 349, 356]",0.68,MLR,0.24,-0.08,-0.96,-1.3
"[48, 52, 126, 129, 148, 224, 236, 327]",0.63,MLR,0.25,-0.16,-0.55,0.11
"[23, 32, 201, 250, 292]",0.63,MLR,0.25,-0.37,-0.21,-0.06
"[56, 120, 172, 223, 286]",0.54,MLR,0.11,-0.14,-0.1,-0.54
"[24, 230, 353]",0.73,MLR,0.14,-0.02,-1.34,-1.03
"[6, 38, 208, 343]",0.65,MLR,0.12,-0.08,-0.79,-0.87
"[8, 83, 109, 235, 254, 266, 276, 282, 308, 351]",0.78,MLR,0.2,-0.69,-0.51,-0.7
"[9, 59, 65, 199, 299, 358, 375]",0.65,MLR,0.23,-0.07,-0.81,-0.68
"[54, 147, 162, 333, 354]",0.72,MLR,0.06,-0.29,-0.82,-0.83
"[31, 121, 221]",0.57,MLR,0.06,-0.08,-0.34,-0.29
