Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[3, 8, 95, 233, 274, 355]",0.8,MLR,0.0,-0.34,-1.18,-1.47
"[68, 141, 146, 184, 187, 220, 281, 310, 314]",0.65,MLR,0.48,0.16,-1.21,-1.13
"[107, 165, 219, 288, 323]",0.53,MLR,0.14,-0.11,-0.11,-0.16
"[60, 78, 91, 113, 118, 171]",1.02,MLR,0.34,-1.23,-0.92,-0.37
"[50, 153, 155, 180, 248]",0.49,MLR,0.23,0.04,-0.13,0.21
"[47, 60, 112, 177, 224]",0.65,MLR,0.06,-0.49,-0.1,-0.21
"[29, 115, 158, 199, 259]",0.7,MLR,0.09,-0.64,-0.11,-0.48
"[2, 197, 221, 264, 286, 324, 359]",0.54,MLR,0.35,-0.17,-0.04,0.24
"[24, 31, 79, 173, 207, 242, 274, 291, 298, 310]",0.53,MLR,0.21,-0.45,0.46,-0.81
"[25, 184, 191, 294]",0.72,MLR,0.12,-0.24,-0.94,-0.77
"[105, 117, 125, 201, 303, 322, 378]",0.56,MLR,0.19,-0.1,-0.27,-0.4
"[246, 291, 369, 372]",0.53,MLR,0.04,-0.17,0.02,-0.18
"[17, 73, 123, 143, 246, 266, 280, 292, 303]",0.56,MLR,0.24,-0.2,-0.07,-0.08
"[203, 256, 258]",0.47,MLR,0.16,0.01,0.04,-0.48
"[21, 105, 125, 165, 187, 223, 263, 317]",0.59,MLR,0.07,-0.27,-0.11,-0.05
"[6, 31, 313, 354, 378, 384]",0.59,MLR,0.07,-0.21,-0.26,-0.47
"[37, 88, 104, 156, 222, 264, 288, 367, 378]",0.45,MLR,0.47,0.08,0.06,0.25
"[74, 75, 148, 152, 226]",0.54,MLR,0.22,-0.05,-0.23,-0.16
"[47, 80, 87, 312, 329, 367]",0.53,MLR,0.07,-0.25,0.15,0.2
"[1, 39, 72, 108, 264, 273, 369]",0.74,MLR,0.39,0.02,-1.48,-1.75
"[76, 80, 153, 270]",0.52,MLR,0.15,0.02,-0.26,-0.21
"[14, 166, 276, 279, 354, 357, 380]",0.84,MLR,0.18,-0.42,-1.27,-0.89
"[190, 206, 227, 233, 247, 353, 366]",0.67,MLR,0.15,-0.22,-0.67,-0.42
"[19, 221, 285, 291, 296, 348]",10.77,MLR,0.27,0.04,-57.15,-70.88
"[140, 225, 238, 254, 267, 346, 364, 378]",0.54,MLR,0.31,-0.04,-0.27,0.03
"[59, 195, 202, 226, 233]",0.59,MLR,0.16,-0.04,-0.52,-0.49
"[40, 195, 207, 372]",0.58,MLR,0.19,0.01,-0.55,-0.17
"[52, 93, 129, 131, 137, 153, 185, 222, 301]",0.68,MLR,0.11,-0.24,-0.67,-0.87
"[38, 118, 133, 185, 298, 306, 309]",0.54,MLR,0.1,-0.17,-0.04,-0.34
"[43, 107, 117, 141, 229, 361]",0.53,MLR,0.25,0.04,-0.3,-0.12
"[2, 110, 161, 234, 295, 356]",0.57,MLR,0.12,-0.17,-0.19,-0.34
"[32, 323, 337]",0.56,MLR,0.1,-0.13,-0.23,-0.53
"[317, 356, 375, 380]",0.53,MLR,0.09,-0.1,-0.09,-0.29
"[122, 129, 280, 354]",0.57,MLR,0.13,-0.04,-0.42,-0.39
"[4, 14, 55, 84, 216, 224, 333]",0.82,MLR,0.17,-0.46,-1.11,-0.56
"[57, 65, 161, 243, 252, 314, 364]",0.57,MLR,0.1,-0.2,-0.17,-0.19
"[83, 217, 235, 333, 361, 371]",0.49,MLR,0.24,-0.04,0.03,-0.04
"[46, 86, 131, 290, 304, 371]",0.6,MLR,0.08,-0.2,-0.32,-0.34
"[18, 108, 181, 233, 243, 267]",0.48,MLR,0.24,0.04,-0.05,0.26
"[28, 121, 125, 241, 248, 377]",0.57,MLR,0.3,0.06,-0.59,-0.2
"[5, 17, 22, 173, 306, 357]",0.59,MLR,0.23,-0.08,-0.46,-0.61
"[17, 77, 113, 115, 227, 284, 371]",0.46,MLR,0.31,0.08,-0.0,0.19
"[5, 111, 122, 123, 214, 237, 368]",0.79,MLR,0.08,-0.32,-1.15,-2.17
"[0, 2, 86, 91, 93, 106, 126, 323, 379]",0.47,MLR,0.32,0.01,0.04,0.04
"[19, 131, 142, 342, 363]",0.59,MLR,0.14,-0.08,-0.44,-0.09
"[13, 16, 17, 156, 304, 321]",0.52,MLR,0.2,-0.07,-0.09,0.25
"[279, 287, 347, 369]",0.53,MLR,0.05,-0.15,0.0,0.03
"[102, 183, 186, 241, 255, 264, 291]",0.36,MLR,0.35,0.16,0.41,-0.29
"[1, 49, 62, 66, 143, 170, 192, 316, 368]",0.58,MLR,0.44,-0.06,-0.42,0.08
"[2, 35, 131, 203, 206, 251, 355]",5.31,MLR,0.3,-0.01,-26.77,-316.31
