Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[25, 77, 105, 171, 243]",0.52,MLR,0.29,0.1,-0.4,-0.31
"[17, 55, 94, 106, 115, 176, 220, 261, 286, 338]",0.71,MLR,0.23,-0.18,-0.96,-0.93
"[32, 60, 248, 289, 333, 339]",0.71,MLR,0.24,-0.02,-1.24,-1.07
"[5, 91, 130, 262]",0.6,MLR,0.22,0.05,-0.76,-0.59
"[47, 62, 133, 211, 228, 242, 338, 361]",0.67,MLR,0.19,-0.41,-0.35,-0.46
"[239, 263, 276, 375]",0.55,MLR,0.04,-0.16,-0.1,-0.01
"[14, 107, 151, 152]",0.5,MLR,0.22,0.07,-0.2,-0.1
"[11, 37, 122, 243, 280, 297]",0.56,MLR,0.07,-0.23,-0.04,-0.03
"[53, 162, 270, 348, 372]",0.52,MLR,0.13,-0.12,0.01,-0.03
"[40, 155, 177, 214, 274, 302, 328]",0.8,MLR,0.22,-0.09,-1.63,-1.45
"[234, 249, 315, 335]",0.52,MLR,0.16,-0.13,-0.01,-0.27
"[110, 208, 267, 362]",0.49,MLR,0.19,-0.0,-0.03,0.06
"[28, 228, 319]",0.53,MLR,0.04,-0.12,-0.08,-0.09
"[16, 60, 106, 238, 249, 267, 290, 318, 333]",0.67,MLR,0.25,-0.18,-0.73,-1.17
"[93, 106, 196, 296, 301]",0.56,MLR,0.04,-0.16,-0.17,-0.3
"[79, 121, 128, 209, 232, 357]",0.61,MLR,0.1,-0.18,-0.39,-0.67
"[68, 225, 250, 284, 328]",0.62,MLR,0.08,-0.4,-0.11,0.07
"[30, 94, 270, 300]",0.54,MLR,0.15,0.03,-0.37,-0.35
"[209, 246, 263, 316, 350]",0.56,MLR,0.05,-0.26,-0.02,-0.06
"[21, 83, 176, 179, 205, 209, 326]",0.65,MLR,0.14,-0.24,-0.55,-0.87
"[76, 199, 358]",0.61,MLR,0.07,-0.34,-0.16,-0.07
"[143, 155, 197, 237, 239, 247, 375]",0.54,MLR,0.13,-0.22,0.07,0.0
"[113, 200, 290, 319, 330, 356]",0.53,MLR,0.19,-0.01,-0.23,-0.42
"[1, 61, 178, 342, 343, 359]",0.57,MLR,0.09,-0.23,-0.1,0.03
"[23, 72, 94, 114, 271, 296, 348]",0.69,MLR,0.2,-0.32,-0.6,-0.47
"[18, 40, 48, 50, 242, 289, 301, 328]",0.65,MLR,0.26,-0.09,-0.75,-1.17
"[157, 244, 271]",0.46,MLR,0.18,-0.02,0.15,0.35
"[10, 224, 275, 278, 302]",0.55,MLR,0.3,0.11,-0.55,-0.97
"[177, 323, 352]",0.53,MLR,0.07,-0.08,-0.14,-0.25
"[28, 72, 112, 165, 183, 256, 264, 352, 378]",0.54,MLR,0.33,-0.34,0.25,0.11
"[224, 311, 383]",0.51,MLR,0.02,-0.11,0.02,-0.01
"[47, 250, 252]",0.56,MLR,0.06,-0.13,-0.23,0.1
"[72, 84, 104, 122, 249, 267, 287, 300, 364]",0.61,MLR,0.24,-0.26,-0.26,0.15
"[68, 95, 106, 108, 126, 179, 258, 270, 379]",0.49,MLR,0.34,-0.11,0.14,0.11
"[71, 114, 125, 215, 254, 258, 364]",0.55,MLR,0.06,-0.28,0.07,-0.44
"[24, 85, 106, 171, 207, 229, 235, 243, 342]",0.58,MLR,0.48,0.17,-0.79,0.07
"[40, 65, 94, 112, 161, 209, 233, 371]",0.66,MLR,0.13,-0.26,-0.56,-0.52
"[37, 67, 146, 286]",0.53,MLR,0.01,-0.16,0.02,0.02
"[12, 30, 52, 115, 125, 139, 308, 319, 369, 370]",0.48,MLR,0.45,0.13,-0.23,-0.31
"[93, 102, 128, 142, 222, 229, 235, 240, 264, 305]",0.58,MLR,0.53,-0.14,-0.29,0.44
"[109, 110, 140, 179, 202, 347, 348, 354]",0.7,MLR,0.12,-0.38,-0.54,-0.27
"[121, 183, 305]",0.44,MLR,0.09,-0.05,0.32,0.21
"[102, 184, 188, 246, 252, 261, 312, 323]",0.9,MLR,0.19,-1.44,0.1,0.34
"[76, 113, 278]",0.58,MLR,0.14,-0.04,-0.5,-0.75
"[42, 160, 177, 283]",0.64,MLR,0.09,-0.13,-0.63,-0.22
"[26, 99, 127, 131, 182, 184, 231, 296, 300]",1.12,MLR,0.26,-1.21,-1.52,-2.56
"[1, 66, 68, 87, 136, 166, 201, 230, 273, 278, 304, 306, 316, 324, 338]",0.71,MLR,0.45,-0.39,-0.64,-0.68
"[29, 75, 93, 126, 128, 141, 340, 357]",0.4,MLR,0.44,0.24,0.05,0.11
"[134, 167, 169, 187, 215, 223, 238, 258]",0.61,MLR,0.31,0.01,-0.73,-0.74
"[14, 18, 25, 190, 289]",0.7,MLR,0.08,-0.73,0.03,0.14
