Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[89, 229, 294, 326, 338, 352, 354, 374]",0.73,MLR,0.1,-0.34,-0.8,-0.89
"[6, 54, 75, 139, 163, 372]",0.89,MLR,0.18,-0.06,-2.15,-2.36
"[55, 108, 172, 236, 368]",0.53,MLR,0.06,-0.22,0.11,-0.08
"[45, 52, 77, 103, 190, 270, 273]",0.56,MLR,0.2,-0.18,-0.11,-0.34
"[64, 130, 135, 195, 216, 225, 321]",0.65,MLR,0.22,-0.09,-0.76,-0.65
"[10, 16, 27, 134, 151, 296, 373]",0.73,MLR,0.25,0.02,-1.38,-1.15
"[84, 266, 272, 316]",0.51,MLR,0.12,-0.05,-0.09,-0.29
"[81, 141, 191, 206, 223, 344]",0.54,MLR,0.25,-0.06,-0.22,0.12
"[7, 8, 111, 143, 313, 334]",0.5,MLR,0.15,-0.21,0.27,-0.2
"[21, 119, 124, 186, 264, 265, 310, 351]",0.53,MLR,0.29,-0.18,0.04,0.16
"[12, 96, 113, 120]",0.63,MLR,0.08,-0.15,-0.54,-0.94
"[6, 178, 326, 336]",0.63,MLR,0.13,-0.01,-0.79,-0.73
"[104, 357, 377]",0.52,MLR,0.12,-0.02,-0.19,-0.33
"[0, 7, 21, 105, 116, 177, 201, 286, 294]",0.58,MLR,0.24,-0.12,-0.32,-0.23
"[17, 118, 129, 187, 246, 358, 364, 379]",0.66,MLR,0.31,0.02,-1.0,-0.82
"[36, 137, 140, 157, 260, 287]",0.51,MLR,0.29,0.03,-0.18,0.15
"[28, 62, 76, 108, 156, 157, 200, 226, 287]",0.97,MLR,0.31,-0.65,-1.63,-1.33
"[2, 14, 26, 188, 285, 298, 373]",3.28,MLR,0.13,-4.64,-7.75,-7.77
"[7, 86, 224, 248, 310]",0.53,MLR,0.22,-0.02,-0.22,0.1
"[10, 128, 212, 238, 277, 293]",0.54,MLR,0.16,-0.1,-0.14,-0.21
"[2, 37, 41, 124, 130, 213, 243, 270]",0.63,MLR,0.25,-0.05,-0.74,-0.75
"[43, 44, 52, 73, 97, 208, 244, 381]",0.98,MLR,-0.01,-0.37,-2.15,-1.77
"[2, 11, 32, 40, 58, 84, 169, 236, 253, 271, 272, 278, 279, 286]",0.98,MLR,0.55,-0.35,-2.19,-3.67
"[45, 255, 314, 351, 367]",0.54,MLR,0.16,-0.06,-0.2,-0.2
"[43, 46, 56, 280, 327, 336, 373]",0.68,MLR,0.2,-0.08,-0.97,-0.96
"[2, 56, 62, 94, 247]",0.74,MLR,0.08,-0.26,-0.98,-1.01
"[7, 93, 113, 136, 301, 319, 351, 370]",0.62,MLR,0.12,-0.26,-0.3,-0.52
"[16, 44, 174]",0.46,MLR,0.17,0.02,0.09,0.24
"[3, 98, 101, 156, 225, 249, 296, 330, 356]",0.9,MLR,0.34,-0.98,-0.68,-0.47
"[128, 146, 353]",0.76,MLR,-0.05,-0.3,-1.01,-0.61
"[88, 100, 189, 304]",2.03,MLR,0.08,-5.07,-0.08,-0.44
"[85, 129, 262, 275, 364]",0.47,MLR,0.27,0.04,-0.01,-0.1
"[61, 68, 259, 344, 370]",0.53,MLR,0.1,-0.17,0.03,-0.31
"[20, 60, 180, 181, 195, 196, 248, 316]",0.58,MLR,0.29,-0.07,-0.41,-0.19
"[135, 207, 210, 246, 340, 348]",0.77,MLR,0.09,-0.3,-1.06,-0.78
"[64, 180, 242, 268, 285, 311]",2.3,MLR,0.27,-0.07,-9.95,-10.29
"[9, 26, 86, 107, 169, 175, 240, 298, 304, 314]",1.68,MLR,0.2,-4.11,0.23,-0.07
"[97, 102, 174, 222, 235, 278, 281, 298, 320, 337]",1.87,MLR,0.34,-1.88,-4.56,-3.75
"[96, 221, 256, 261, 380]",0.49,MLR,0.2,-0.03,0.03,-0.11
"[89, 94, 145, 276, 290, 356]",0.55,MLR,0.21,-0.13,-0.14,0.03
"[37, 53, 83, 278, 305, 338]",0.61,MLR,0.23,-0.0,-0.69,-1.02
"[29, 200, 216, 353, 383]",0.74,MLR,0.19,-0.01,-1.41,-1.17
"[50, 297, 361]",0.52,MLR,0.08,-0.06,-0.1,-0.01
"[83, 204, 232, 258, 282, 302]",0.59,MLR,0.08,-0.18,-0.32,-0.17
"[89, 141, 220, 234, 309]",0.52,MLR,0.31,0.11,-0.38,0.04
"[48, 147, 328]",0.67,MLR,0.1,-0.03,-1.02,-0.94
"[25, 229, 353, 374]",0.73,MLR,0.13,-0.07,-1.27,-0.91
"[73, 82, 206, 284, 321, 353]",0.89,MLR,0.17,-0.35,-1.65,-0.82
"[79, 117, 178, 197, 201, 340]",0.71,MLR,0.26,-0.73,-0.05,0.51
"[33, 119, 205, 279, 300]",0.57,MLR,0.07,-0.22,-0.11,-0.17
"[85, 129, 262, 275, 364]",0.47,MLR,0.27,0.04,-0.01,-0.1
"[16, 44, 174]",0.46,MLR,0.17,0.02,0.09,0.24
[],0.49,MLR,-0.0,-0.04,0.0,-0.0
"[16, 42, 44, 174, 364]",0.58,MLR,0.23,0.02,-0.58,-0.39
"[85, 129, 262, 275]",0.46,MLR,0.27,0.08,-0.01,-0.09
"[103, 118, 371]",0.54,MLR,0.02,-0.15,-0.06,-0.01
"[16, 44, 174, 262, 275]",0.43,MLR,0.42,0.25,-0.15,0.18
"[16, 44, 174]",0.46,MLR,0.17,0.02,0.09,0.24
[],0.49,MLR,-0.0,-0.04,0.0,-0.0
"[12, 36, 55, 77, 133, 280, 307, 331, 350]",0.65,MLR,0.07,-0.39,-0.26,-0.47
"[72, 85, 129]",0.51,MLR,0.04,-0.11,0.02,-0.02
"[85, 129, 262, 275]",0.46,MLR,0.27,0.08,-0.01,-0.09
"[181, 224, 243, 335]",0.61,MLR,0.03,-0.18,-0.39,-0.33
[],0.49,MLR,-0.0,-0.04,0.0,-0.0
"[16, 44, 174, 262, 275]",0.43,MLR,0.42,0.25,-0.15,0.18
"[85, 129, 262, 275]",0.46,MLR,0.27,0.08,-0.01,-0.09
[],0.49,MLR,-0.0
