Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[99L, 111L, 311L, 332L]",0.6,MLR,0.03,-0.4,0.03,-1.05
"[74L, 96L, 275L, 306L, 351L]",0.55,MLR,0.15,-0.1,-0.18,-0.28
"[25L, 63L, 88L, 100L, 102L, 188L, 256L, 332L, 341L, 369L, 378L]",3.12,MLR,0.28,-4.57,-6.97,-4.52
"[173L, 293L, 367L]",0.46,MLR,0.08,-0.06,0.22,-0.19
"[27L, 80L, 114L, 198L, 241L, 372L, 381L, 383L, 384L]",0.55,MLR,0.14,-0.33,0.15,-0.24
"[90L, 175L, 350L]",0.48,MLR,0.13,-0.03,0.07,-0.49
"[32L, 45L, 51L, 153L, 178L, 313L, 369L]",0.62,MLR,0.11,-0.42,-0.04,-0.1
"[99L, 110L, 132L, 172L, 212L, 225L, 229L, 289L, 294L]",0.72,MLR,0.15,-0.32,-0.77,-1.25
"[47L, 112L, 129L, 284L, 295L, 296L, 342L, 378L]",0.61,MLR,0.14,-0.21,-0.38,-0.08
"[26L, 33L, 145L, 186L, 224L, 280L, 310L]",5.36,MLR,0.32,-15.38,-1.3,-1.06
"[81L, 155L, 363L]",0.5,MLR,0.08,-0.05,-0.02,-0.05
"[61L, 68L, 148L, 245L, 309L]",0.53,MLR,0.04,-0.15,-0.01,-0.07
"[26L, 27L, 44L, 85L, 197L, 248L, 298L, 383L]",0.63,MLR,0.26,-0.4,-0.17,0.08
"[24L, 54L, 74L, 89L, 112L, 117L, 281L, 345L, 376L]",1.06,MLR,0.3,-0.07,-3.08,-1.43
"[63L, 64L, 147L, 169L, 256L, 276L, 367L]",0.6,MLR,0.16,-0.23,-0.26,-0.39
"[66L, 92L, 272L]",0.53,MLR,0.01,-0.19,0.06,-0.1
"[36L, 88L, 117L, 157L, 178L, 206L, 296L, 374L]",0.55,MLR,0.24,-0.22,0.0,-0.08
"[239L, 272L, 377L]",0.55,MLR,0.01,-0.14,-0.13,-0.06
"[24L, 201L, 263L, 357L, 372L]",0.51,MLR,0.19,-0.12,0.06,0.29
"[133L, 240L, 304L, 316L, 334L, 341L, 347L]",0.53,MLR,0.06,-0.28,0.22,-0.05
"[25L, 86L, 105L, 259L]",0.5,MLR,0.16,-0.03,-0.08,-0.18
"[73L, 150L, 195L, 265L, 302L]",0.52,MLR,0.12,-0.1,-0.01,0.17
"[59L, 74L, 105L, 237L, 277L, 356L, 382L]",0.58,MLR,0.15,-0.13,-0.31,-0.34
"[116L, 133L, 260L, 271L, 309L, 347L]",0.54,MLR,0.27,-0.09,-0.16,-0.33
"[49L, 101L, 106L, 114L, 121L, 153L, 166L, 223L, 251L, 307L, 369L]",5.36,MLR,0.26,-3.18,-21.72,-244.46
"[62L, 107L, 124L, 162L, 261L, 330L, 351L]",0.52,MLR,0.17,-0.11,-0.03,0.02
"[4L, 14L, 19L, 38L, 59L, 92L, 134L, 281L, 384L]",0.6,MLR,0.26,-0.09,-0.5,-0.47
"[58L, 127L, 134L, 168L, 207L, 270L, 351L]",0.58,MLR,0.17,-0.21,-0.21,-0.28
"[5L, 129L, 186L, 195L, 199L, 357L, 366L]",0.82,MLR,0.16,-0.21,-1.55,-1.44
"[13L, 29L, 254L, 343L]",0.51,MLR,0.05,-0.17,0.14,0.15
"[9L, 83L, 274L]",0.53,MLR,0.07,-0.13,-0.03,-0.12
"[74L, 211L, 362L]",0.54,MLR,0.08,-0.08,-0.16,-0.33
"[53L, 155L, 251L, 282L, 306L, 331L]",4.13,MLR,0.21,0.02,-20.29,-239.57
"[78L, 86L, 117L, 149L, 175L, 232L, 249L, 338L]",0.78,MLR,0.12,-0.69,-0.51,-0.6
"[2L, 98L, 122L, 150L, 152L, 170L, 295L, 304L, 373L, 378L]",0.4,MLR,0.62,0.33,-0.07,0.66
"[17L, 86L, 116L, 184L, 185L, 195L, 304L, 366L, 370L]",1.01,MLR,0.27,-1.25,-0.83,-0.68
"[23L, 43L, 288L, 292L, 359L, 375L]",0.93,MLR,0.13,-0.32,-1.96,-2.15
"[32L, 41L, 116L, 343L, 346L]",0.58,MLR,0.1,-0.28,-0.1,-0.33
"[4L, 89L, 105L, 193L, 330L, 355L, 372L]",0.81,MLR,0.2,-0.09,-1.65,-1.24
"[5L, 31L, 194L, 229L]",0.64,MLR,0.1,-0.15,-0.62,-0.51
"[73L, 162L, 283L, 345L]",0.56,MLR,0.11,-0.09,-0.26,-0.17
"[39L, 111L, 119L, 211L, 257L, 260L, 285L, 327L, 331L]",0.98,MLR,0.42,-0.19,-2.42,-0.9
"[17L, 112L, 219L, 322L]",0.56,MLR,0.11,-0.07,-0.3,0.09
"[83L, 234L, 285L, 297L, 327L, 345L]",1.74,MLR,0.23,-0.18,-6.66,-6.28
"[4L, 85L, 104L, 158L, 190L, 243L, 316L, 326L]",0.56,MLR,0.09,-0.28,0.03,-0.09
"[124L, 145L, 207L, 276L, 355L]",0.59,MLR,0.22,0.01,-0.62,-0.35
"[60L, 249L, 311L, 349L]",0.56,MLR,0.09,-0.21,-0.1,-0.21
"[115L, 289L, 320L, 341L, 343L, 378L]",0.62,MLR,0.15,-0.27,-0.28,-0.43
"[68L, 200L, 277L, 290L, 330L, 379L]",0.53,MLR,0.16,-0.09,-0.14,-0.31
"[4L, 108L, 140L, 156L, 168L, 185L, 318L, 351L]",0.48,MLR,0.34,0.03,-0.04,0.39
