Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[106L, 125L, 161L, 266L, 304L, 329L, 339L]",0.57,MLR,0.16,-0.1,-0.32,-0.81
"[0L, 235L, 343L, 356L, 383L]",0.53,MLR,0.11,-0.08,-0.15,-0.31
"[15L, 272L, 282L, 303L]",0.52,MLR,0.13,-0.08,-0.07,-0.17
"[129L, 303L, 304L, 322L, 332L]",0.55,MLR,0.17,-0.01,-0.37,-0.54
"[31L, 99L, 146L, 277L]",0.5,MLR,0.09,-0.1,0.07,-0.04
"[67L, 150L, 224L, 292L, 380L]",0.66,MLR,0.1,-0.28,-0.53,-0.43
"[10L, 125L, 278L, 381L]",0.52,MLR,0.15,0.01,-0.23,-0.58
"[0L, 158L, 234L, 277L, 314L]",0.55,MLR,0.13,-0.11,-0.2,-0.27
"[70L, 89L, 101L, 146L, 203L, 246L, 270L]",0.56,MLR,0.13,-0.23,-0.06,-0.32
"[19L, 96L, 181L, 266L, 312L, 344L, 365L]",0.52,MLR,0.2,-0.05,-0.1,-0.01
"[3L, 44L, 87L, 244L, 283L, 303L]",0.53,MLR,0.15,-0.24,0.15,-0.07
"[11L, 32L, 58L, 65L, 129L, 196L]",0.9,MLR,0.24,-0.03,-2.27,-2.34
"[11L, 57L, 199L, 300L]",0.65,MLR,0.05,-0.55,0.01,-0.01
"[73L, 116L, 155L, 193L, 215L, 244L, 323L, 369L]",0.74,MLR,0.23,-0.13,-1.19,-0.57
"[118L, 123L, 147L, 151L, 208L, 367L]",0.59,MLR,0.08,-0.21,-0.25,-0.42
"[28L, 107L, 142L, 193L, 313L, 324L, 361L]",0.7,MLR,0.27,-0.02,-1.2,-0.7
"[69L, 83L, 110L, 152L, 182L, 307L, 339L]",0.52,MLR,0.38,0.15,-0.44,-0.11
"[3L, 108L, 173L, 262L, 277L, 283L, 301L, 348L]",0.52,MLR,0.27,-0.14,0.05,-0.08
"[27L, 177L, 265L]",0.52,MLR,0.06,-0.1,-0.03,0.09
"[67L, 90L, 106L, 121L, 191L, 202L, 219L, 379L]",0.61,MLR,0.2,-0.11,-0.5,-0.01
"[19L, 124L, 178L, 224L, 249L]",0.51,MLR,0.25,0.03,-0.22,-0.22
"[32L, 85L, 108L, 164L, 301L]",0.65,MLR,0.34,0.06,-1.04,-1.16
"[5L, 88L, 97L, 278L, 320L, 326L]",1.58,MLR,0.12,-2.38,-2.09,-2.43
"[39L, 157L, 169L, 216L, 284L, 340L]",0.54,MLR,0.18,-0.12,-0.11,-0.01
"[109L, 119L, 123L, 148L]",0.58,MLR,0.07,-0.19,-0.24,-0.33
"[31L, 109L, 241L, 284L, 336L, 357L]",0.77,MLR,0.15,-0.15,-1.37,-1.36
"[142L, 172L, 187L, 351L]",0.55,MLR,0.15,-0.11,-0.2,-0.27
"[31L, 154L, 219L, 259L, 320L, 366L]",0.56,MLR,0.12,-0.2,-0.08,-0.38
"[34L, 91L, 175L, 229L, 238L, 280L, 332L]",0.73,MLR,0.26,-0.25,-0.93,-1.59
"[3L, 27L, 200L, 241L, 243L, 257L, 275L, 294L]",0.72,MLR,0.24,-0.22,-0.96,-2.36
"[142L, 272L, 323L, 329L, 346L]",0.52,MLR,0.15,-0.05,-0.14,-0.07
"[13L, 132L, 164L, 166L, 188L, 241L]",0.51,MLR,0.27,-0.19,0.16,0.27
"[75L, 110L, 175L, 192L, 371L]",0.55,MLR,0.2,0.0,-0.35,-0.29
"[31L, 32L, 93L, 274L, 292L, 313L, 332L, 339L, 382L]",1.96,MLR,0.38,-0.04,-8.15,-7.22
"[65L, 80L, 149L, 151L, 161L, 186L, 201L, 329L]",0.49,MLR,0.11,-0.26,0.38,0.35
"[41L, 61L, 201L, 235L, 261L, 303L]",0.45,MLR,0.22,-0.04,0.26,0.07
"[39L, 192L, 328L]",0.55,MLR,0.05,-0.1,-0.22,-0.12
"[33L, 285L, 330L, 349L, 382L]",1.92,MLR,0.13,-0.24,-7.55,-6.84
"[29L, 37L, 102L, 156L, 293L]",0.86,MLR,0.2,-1.11,-0.21,-0.1
"[22L, 56L, 98L, 135L, 201L, 336L, 348L]",0.64,MLR,0.2,-0.11,-0.67,-0.51
"[156L, 175L, 181L, 258L, 262L, 300L, 355L]",0.4,MLR,0.35,0.13,0.21,0.2
"[85L, 128L, 187L, 197L]",0.5,MLR,0.04,-0.14,0.14,0.05
"[21L, 26L, 51L, 150L, 196L, 225L]",1.39,MLR,0.08,-2.37,-1.06,-1.31
"[167L, 182L, 190L, 206L, 272L, 296L, 344L]",0.53,MLR,0.22,-0.26,0.19,0.48
"[70L, 125L, 234L, 323L, 368L]",0.54,MLR,0.05,-0.2,-0.01,-0.09
"[65L, 82L, 149L, 152L, 234L, 258L, 368L]",0.53,MLR,0.17,-0.12,-0.08,-0.12
"[138L, 221L, 241L, 256L, 382L]",0.51,MLR,0.24,0.02,-0.2,-0.2
"[121L, 220L, 269L, 307L]",0.52,MLR,0.22,0.06,-0.32,-0.01
"[33L, 35L, 52L, 181L, 257L, 323L, 324L, 334L, 364L]",0.55,MLR,0.41,-0.05,-0.3,-0.61
"[23L, 29L, 147L, 186L, 192L, 372L]",0.86,MLR,0.25,-0.32,-1.55,-1.11
