Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[13L, 134L, 159L, 194L, 253L]",0.53,MLR,0.17,-0.02,-0.25,-0.63
"[155L, 158L, 222L, 267L, 329L]",0.48,MLR,0.15,-0.05,0.08,0.42
"[65L, 87L, 91L, 254L, 322L, 350L]",0.7,MLR,0.04,-0.34,-0.61,-0.46
"[15L, 89L, 94L, 184L, 204L, 333L, 336L, 370L]",1.39,MLR,0.35,-1.96,-1.77,-1.89
"[2L, 53L, 66L, 80L, 135L, 136L, 180L, 349L]",0.56,MLR,-0.04,-0.51,0.41,-0.01
"[210L, 309L, 319L, 326L, 379L]",0.52,MLR,0.07,-0.19,0.11,0.02
"[6L, 198L, 249L, 252L, 276L, 293L, 333L]",0.83,MLR,0.25,-0.36,-1.31,-1.44
"[12L, 39L, 97L, 123L, 155L, 230L, 359L]",0.62,MLR,0.1,-0.19,-0.43,-0.62
"[61L, 72L, 79L, 140L, 184L, 256L, 321L]",0.53,MLR,0.17,-0.16,-0.01,-0.54
"[4L, 107L, 252L, 294L, 316L]",0.56,MLR,0.11,-0.14,-0.19,-0.24
"[30L, 290L, 313L]",0.47,MLR,0.11,0.03,0.04,-0.01
"[71L, 96L, 123L, 173L, 302L]",0.47,MLR,0.07,-0.14,0.29,-0.38
"[18L, 56L, 97L, 131L, 230L]",0.58,MLR,0.17,-0.11,-0.37,-0.25
"[101L, 111L, 143L, 301L, 353L]",0.67,MLR,0.06,-0.32,-0.51,-0.51
"[21L, 40L, 109L, 123L]",0.63,MLR,0.08,-0.09,-0.65,-0.77
"[108L, 147L, 160L, 201L, 333L]",0.54,MLR,0.09,-0.29,0.17,0.13
"[24L, 56L, 96L, 175L, 210L, 288L, 328L, 344L]",0.72,MLR,0.22,-0.16,-1.03,-0.85
"[40L, 165L, 229L, 233L, 283L, 333L, 374L]",0.82,MLR,0.14,-0.42,-1.18,-0.75
"[87L, 96L, 217L, 296L]",0.57,MLR,0.12,-0.32,0.07,-0.18
"[213L, 278L, 382L]",0.59,MLR,0.15,0.01,-0.63,-1.14
"[155L, 157L, 230L, 260L, 280L]",0.46,MLR,0.29,0.12,-0.1,0.23
"[57L, 59L, 103L, 290L]",0.56,MLR,0.17,0.01,-0.45,-1.71
"[94L, 143L, 208L, 331L, 335L, 367L]",0.78,MLR,0.1,-0.75,-0.37,-0.58
"[60L, 103L, 286L, 334L, 346L]",0.53,MLR,0.14,-0.04,-0.2,-0.26
"[74L, 97L, 121L, 223L, 231L, 289L, 359L, 360L]",0.65,MLR,0.25,-0.09,-0.75,-0.23
"[15L, 100L, 193L, 225L, 324L, 357L, 366L]",0.72,MLR,0.13,-0.19,-1.01,-0.79
"[5L, 81L, 140L, 298L, 302L, 315L]",0.65,MLR,0.11,-0.16,-0.69,-0.69
"[8L, 52L, 79L, 85L, 155L, 297L, 311L]",0.62,MLR,0.27,-0.19,-0.44,-0.14
"[11L, 64L, 68L, 78L, 97L, 123L, 214L, 226L, 256L, 308L, 360L]",0.83,MLR,0.2,-1.0,-0.23,-0.17
"[19L, 72L, 144L, 150L, 242L, 350L]",0.57,MLR,0.15,-0.17,-0.19,0.03
"[2L, 14L, 16L, 70L, 79L, 88L, 215L]",0.87,MLR,0.15,-0.31,-1.62,-0.97
"[90L, 165L, 168L, 368L, 369L, 375L]",0.59,MLR,0.06,-0.24,-0.21,-0.18
"[65L, 175L, 203L, 219L, 236L, 243L, 267L, 337L]",0.47,MLR,0.39,0.1,-0.1,-0.03
"[12L, 173L, 229L, 231L, 314L, 336L]",0.49,MLR,0.16,-0.12,0.16,-0.42
"[15L, 86L, 189L]",0.67,MLR,0.03,-0.17,-0.78,-0.65
"[12L, 33L, 54L, 150L, 181L, 185L]",0.69,MLR,0.23,-0.0,-1.14,-0.88
"[28L, 77L, 90L, 104L, 109L, 197L, 224L, 260L]",0.77,MLR,0.38,-0.13,-1.38,-0.6
"[135L, 184L, 283L, 285L]",0.92,MLR,0.05,-0.16,-2.17,-1.35
"[89L, 108L, 129L, 146L, 163L, 206L, 272L, 326L]",0.63,MLR,0.07,-0.44,-0.1,-0.26
"[164L, 174L, 205L, 238L, 276L, 284L, 371L]",0.57,MLR,0.32,-0.11,-0.33,-0.06
"[20L, 117L, 143L, 146L, 152L, 156L, 264L, 279L, 367L, 379L]",0.6,MLR,0.43,-0.22,-0.29,-0.13
"[34L, 108L, 145L, 155L, 159L, 285L, 323L, 377L]",1.9,MLR,0.24,-0.14,-7.63,-7.23
"[0L, 58L, 252L]",0.55,MLR,0.02,-0.14,-0.11,-0.13
"[71L, 77L, 130L, 234L, 321L, 345L]",0.53,MLR,0.1,-0.2,0.08,0.03
"[98L, 104L, 164L, 277L, 313L]",0.47,MLR,0.27,-0.02,0.11,-0.03
"[4L, 79L, 140L, 315L]",0.39,MLR,0.26,0.11,0.34,0.18
"[61L, 217L, 339L]",0.52,MLR,0.04,-0.1,-0.04,-0.18
"[45L, 107L, 193L, 234L, 324L, 366L]",0.61,MLR,0.08,-0.22,-0.35,-0.41
"[45L, 53L, 74L, 99L, 286L, 317L]",0.57,MLR,0.18,-0.08,-0.37,-0.15
"[43L, 58L, 59L, 69L, 189L, 336L]",1.77,MLR,0.26,-3.69,-0.97,-0.37
