Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[109, 114, 151, 171, 174, 186, 192, 204, 367]",0.77,MLR,0.31,-0.97,0.02,0.23
"[1, 110, 239, 281, 296, 297, 307, 310, 322, 323, 341, 376]",0.95,MLR,0.23,-0.73,-1.37,-0.64
"[35, 147, 187, 372]",0.5,MLR,0.04,-0.15,0.15,0.13
"[5, 94, 117, 210, 214]",0.83,MLR,0.09,-0.41,-1.23,-0.99
"[15, 43, 181, 202, 277, 310, 359, 367, 380]",0.6,MLR,0.21,-0.15,-0.42,-0.15
"[25, 29, 91, 156, 166, 182, 265, 301]",0.65,MLR,0.28,-0.28,-0.45,-0.09
"[150, 155, 162, 183, 187, 264, 296]",0.45,MLR,0.27,-0.1,0.32,0.52
"[3, 40, 71, 79, 186, 251, 282, 328, 355]",3.58,MLR,0.27,-0.18,-16.89,-188.9
"[54, 188, 295, 310]",0.55,MLR,0.11,-0.06,-0.28,0.0
"[126, 210, 217, 328]",0.58,MLR,0.05,-0.14,-0.33,-0.42
"[93, 132, 166, 172, 328]",0.53,MLR,0.09,-0.25,0.15,-0.14
"[1, 56, 74, 106, 164, 338]",0.54,MLR,0.32,-0.16,-0.09,-0.07
"[50, 98, 270, 327]",0.56,MLR,0.17,0.04,-0.52,-0.28
"[11, 97, 238, 243, 246, 279]",0.58,MLR,0.04,-0.19,-0.21,-0.29
"[44, 53, 56, 159, 181, 343]",0.59,MLR,0.06,-0.37,0.03,-0.01
"[16, 45, 91, 95, 170, 208, 215, 267, 347, 361, 364]",0.69,MLR,0.46,-0.35,-0.58,0.11
"[1, 17, 85, 137, 169, 174, 188, 233, 282]",0.61,MLR,0.27,-0.04,-0.64,-0.67
"[26, 95, 313]",0.47,MLR,0.06,-0.06,0.17,0.07
"[92, 94, 128, 143, 157, 170, 241, 269, 281]",0.67,MLR,0.33,-0.78,0.25,-0.05
"[19, 127, 150, 295, 298, 329]",0.54,MLR,0.24,-0.0,-0.33,-0.11
"[97, 198, 224]",0.52,MLR,0.11,-0.05,-0.15,-0.29
"[90, 139, 156, 336, 366]",0.58,MLR,0.26,-0.05,-0.44,-0.22
"[156, 172, 198, 352]",0.47,MLR,0.29,0.14,-0.16,-0.39
"[37, 64, 90, 104, 264, 289, 299]",0.49,MLR,0.42,0.1,-0.18,0.2
